mtry,sample.fraction,MSE,runtime_training,runtime_prediction
2.0,0.57,756000544.660125,0.309999999997672,0.0299999999988358
2.0,0.58,743303727.723912,0.200000000000728,0.0299999999988358
2.0,0.59,756646657.7735,0.159999999999854,0.0499999999992724
2.0,0.6,755789899.061325,0.159999999999854,0.0500000000029104
2.0,0.61,764713697.879952,0.159999999999854,0.0499999999992724
2.0,0.62,746856833.743963,0.169999999998254,0.0299999999988358
2.0,0.63,739154715.742358,0.170000000001892,0.0400000000008731
2.0,0.64,741489481.717825,0.169999999998254,0.0299999999988358
2.0,0.65,748925562.499153,0.240000000001601,0.0499999999992724
2.0,0.66,745997667.914157,0.190000000002328,0.0299999999988358
2.0,0.67,741401844.622717,0.169999999998254,0.0499999999992724
2.0,0.68,733881610.84061,0.229999999999563,0.0499999999992724
2.0,0.69,731257145.474057,0.169999999998254,0.0299999999988358
2.0,0.7,726074429.176141,0.170000000001892,0.0400000000008731
2.0,0.71,726204969.648168,0.169999999998254,0.0499999999992724
2.0,0.72,720187884.068582,0.229999999999563,0.0299999999988358
2.0,0.73,716227891.843368,0.190000000002328,0.0400000000008731
2.0,0.74,718281182.257701,0.169999999998254,0.0499999999992724
2.0,0.75,708838464.246615,0.209999999999127,0.0400000000008731
2.0,0.76,703321925.580435,0.169999999998254,0.0299999999988358
2.0,0.77,714520394.326019,0.19999999999709,0.0499999999992724
2.0,0.78,707966096.95377,0.25,0.0499999999992724
2.0,0.79,709914053.472489,0.190000000002328,0.0299999999988358
2.0,0.8,713953256.221017,0.25,0.0299999999988358
2.0,0.81,727114786.287669,0.18999999999869,0.0499999999992724
2.0,0.82,706160989.500566,0.18999999999869,0.0400000000008731
2.0,0.83,722200596.238264,0.200000000000728,0.0400000000008731
2.0,0.84,705563662.402011,0.279999999998836,0.0299999999988358
2.0,0.85,693633654.379189,0.440000000002328,0.0500000000029104
2.0,0.86,707604751.649219,0.18999999999869,0.0500000000029104
2.0,0.87,699088490.971794,0.200000000000728,0.0500000000029104
2.0,0.88,707431989.824235,0.270000000000437,0.0499999999992724
2.0,0.89,720508608.712536,0.190000000002328,0.0400000000008731
2.0,0.9,715549449.633854,0.5,0.0400000000008731
2.0,0.91,689811775.836117,0.19999999999709,0.0400000000008731
2.0,0.92,692491960.990266,0.209999999999127,0.0499999999992724
2.0,0.93,697880003.282387,0.220000000001164,0.0400000000008731
2.0,0.94,710367112.721369,0.200000000000728,0.0499999999992724
2.0,0.95,708461470.196045,0.200000000000728,0.0499999999992724
2.0,0.96,701986823.586071,0.209999999999127,0.0499999999992724
2.0,0.97,720394659.153219,0.200000000000728,0.0299999999988358
2.0,0.98,698220588.459866,0.5,0.0400000000008731
2.0,0.99,692494769.536036,0.279999999998836,0.0299999999988358
2.0,1.0,709539229.276321,0.200000000000728,0.0400000000008731
3.0,0.01,1945965494.9103,0.0499999999992724,0.0400000000008731
3.0,0.02,1414229074.31165,0.0600000000013097,0.0200000000004366
3.0,0.03,1235512353.45862,0.0900000000001455,0.0299999999988358
3.0,0.04,1135725662.38103,0.0799999999981083,0.0299999999988358
3.0,0.05,1075314005.48042,0.0800000000017462,0.0299999999988358
3.0,0.06,1009707279.34762,0.0999999999985448,0.0299999999988358
3.0,0.07,961247563.886176,0.0900000000001455,0.0299999999988358
3.0,0.08,927469816.111897,0.0999999999985448,0.0300000000024738
3.0,0.09,924713584.537823,0.0999999999985448,0.0299999999988358
3.0,0.1,908053268.824902,0.0900000000001455,0.0299999999988358
3.0,0.11,876662913.477866,0.0999999999985448,0.0300000000024738
3.0,0.12,861776590.121208,0.139999999999418,0.0299999999988358
3.0,0.13,848888300.214412,0.0900000000001455,0.0299999999988358
3.0,0.14,847072546.582666,0.100000000002183,0.0299999999988358
3.0,0.15,831178183.996778,0.109999999996944,0.0299999999988358
