"num.trees","mtry","sample.fraction","min.node.size","replace","MSE"
1000,2,0.8,1,FALSE,641600112.185112
1500,2,0.8,1,FALSE,642709159.00546
500,3,0.8,1,FALSE,544435903.090957
1000,3,0.8,1,FALSE,550226328.320349
1500,3,0.8,1,FALSE,545660995.092326
500,4,0.8,1,FALSE,524742054.302403
1000,4,0.8,1,FALSE,527817709.640591
1500,4,0.8,1,FALSE,529518704.167202
500,2,0.9,1,FALSE,624880249.11496
1000,2,0.9,1,FALSE,629348412.035593
1500,2,0.9,1,FALSE,633245274.36349
500,3,0.9,1,FALSE,540584577.060897
1000,3,0.9,1,FALSE,540232774.273814
1500,3,0.9,1,FALSE,539134673.124576
500,4,0.9,1,FALSE,502365377.057734
1000,4,0.9,1,FALSE,510048054.587561
1500,4,0.9,1,FALSE,515610494.14451
500,2,1,1,FALSE,623145622.138435
1000,2,1,1,FALSE,619940401.79303
1500,2,1,1,FALSE,616749979.570372
500,3,1,1,FALSE,531873931.056948
1000,3,1,1,FALSE,535177968.28368
1500,3,1,1,FALSE,529642537.675672
500,4,1,1,FALSE,480104258.825937
1000,4,1,1,FALSE,487703151.120314
1500,4,1,1,FALSE,486263037.833641
500,2,0.5,5,FALSE,745459495.029821
1000,2,0.5,5,FALSE,736915470.736277
1500,2,0.5,5,FALSE,735392701.796365
500,3,0.5,5,FALSE,622182180.200467
1000,3,0.5,5,FALSE,631531162.278651
1500,3,0.5,5,FALSE,628628582.194051
500,4,0.5,5,FALSE,593237949.668672
1000,4,0.5,5,FALSE,589705055.463715
1500,4,0.5,5,FALSE,595808591.008864
500,2,0.6,5,FALSE,718746776.631949
1000,2,0.6,5,FALSE,703084061.230349
1500,2,0.6,5,FALSE,705559414.663016
500,3,0.6,5,FALSE,600879785.517423
1000,3,0.6,5,FALSE,607386163.345054
1500,3,0.6,5,FALSE,607922095.142383
500,4,0.6,5,FALSE,575475777.943807
1000,4,0.6,5,FALSE,574233055.346687
1500,4,0.6,5,FALSE,576231740.647293
