sample.fraction,min.node.size,MSE,runtime_training,runtime_prediction
0.04,25.0,1285719129.54065,0.0499999999992724,0.0300000000024738
0.04,26.0,1310389153.70649,0.069999999999709,0.0099999999983992
0.04,27.0,1332889218.5362,0.0400000000008731,0.0299999999988358
0.04,28.0,1352316149.94593,0.0599999999976717,0.0200000000004366
0.04,29.0,1375020280.25414,0.0499999999992724,0.0300000000024738
0.04,30.0,1394224574.69026,0.069999999999709,0.0099999999983992
0.04,31.0,1418879276.99713,0.0500000000029104,0.0300000000024738
0.04,32.0,1442941757.20699,0.069999999999709,0.0099999999983992
0.04,33.0,1470628337.06356,0.0600000000013097,0.0099999999983992
0.04,34.0,1493080806.41674,0.0599999999976717,0.0200000000004366
0.04,35.0,1522112578.18202,0.0400000000008731,0.0299999999988358
0.04,36.0,1546735207.64795,0.0499999999992724,0.0099999999983992
0.04,37.0,1571430071.40617,0.0600000000013097,0.0099999999983992
0.04,38.0,1604252162.02518,0.0599999999976717,0.0200000000004366
0.04,39.0,1627868796.51992,0.0600000000013097,0.0200000000004366
0.04,40.0,1656449342.363,0.0499999999992724,0.0299999999988358
0.04,41.0,1683605479.82737,0.0400000000008731,0.0299999999988358
0.04,42.0,1717994599.85187,0.0599999999976717,0.0200000000004366
0.04,43.0,1740298938.50248,0.0500000000029104,0.0300000000024738
0.04,44.0,1765692943.4517,0.0499999999992724,0.0200000000004366
0.04,45.0,1793606003.58314,0.0400000000008731,0.0200000000004366
0.04,46.0,1813290619.34882,0.0499999999992724,0.0299999999988358
0.04,47.0,1846311197.27024,0.0500000000029104,0.0100000000020373
0.04,48.0,1877211214.65878,0.0499999999992724,0.0200000000004366
0.04,49.0,1894348860.19857,0.0499999999992724,0.0300000000024738
0.04,50.0,1909466420.71262,0.0499999999992724,0.0299999999988358
0.05,1.0,854380034.872443,0.110000000000582,0.0299999999988358
0.05,2.0,860099723.948134,0.0800000000017462,0.0200000000004366
0.05,3.0,856143199.787519,0.0800000000017462,0.0300000000024738
0.05,4.0,858541432.422874,0.0800000000017462,0.0300000000024738
0.05,5.0,864364678.504238,0.0800000000017462,0.0299999999988358
0.05,6.0,872492357.635214,0.0800000000017462,0.0299999999988358
0.05,7.0,888077791.037238,0.069999999999709,0.0200000000004366
0.05,8.0,898272152.960454,0.0799999999981083,0.0300000000024738
0.05,9.0,911903549.31609,0.0600000000013097,0.0299999999988358
0.05,10.0,925875931.993832,0.0599999999976717,0.0200000000004366
0.05,11.0,939580481.832279,0.0799999999981083,0.0300000000024738
0.05,12.0,955668044.871422,0.0600000000013097,0.0299999999988358
0.05,13.0,973437720.702264,0.0599999999976717,0.0300000000024738
0.05,14.0,988926225.376449,0.069999999999709,0.0299999999988358
